Departamento,Municipio,Areas,"Total, Cabecera, Centro poblado, Rural disperso y tipos de vivienda",Total,"Mármol, parqué, madera pulida o lacada","Baldosa, vinilo, tableta, ladrillo, laminado",Alfombra,"Cemento, gravilla","Madera burda, tabla, tablón, otro vegetal","Tierra, arena, barro"
15_Boyacá,442_Maripí,Rural disperso,Tipo cuarto,25.0,0.0,4.0,0.0,12.0,5.0,4.0
15_Boyacá,442_Maripí,Rural disperso,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,0.0,1.0
15_Boyacá,455_Miraflores,Total municipal,Total,3100.0,67.0,1334.0,13.0,1247.0,316.0,123.0
15_Boyacá,455_Miraflores,Total municipal,Casa,2398.0,48.0,866.0,10.0,1079.0,284.0,111.0
15_Boyacá,455_Miraflores,Total municipal,Apartamento,499.0,14.0,383.0,2.0,85.0,14.0,1.0
15_Boyacá,455_Miraflores,Total municipal,Tipo cuarto,200.0,5.0,85.0,1.0,83.0,17.0,9.0
15_Boyacá,455_Miraflores,Total municipal,Otro tipo de vivienda (1),3.0,0.0,0.0,0.0,0.0,1.0,2.0
15_Boyacá,455_Miraflores,Cabecera,Total,1864.0,41.0,1168.0,12.0,511.0,97.0,35.0
15_Boyacá,455_Miraflores,Cabecera,Casa,1189.0,22.0,703.0,9.0,358.0,67.0,30.0
15_Boyacá,455_Miraflores,Cabecera,Apartamento,499.0,14.0,383.0,2.0,85.0,14.0,1.0
15_Boyacá,455_Miraflores,Cabecera,Tipo cuarto,175.0,5.0,82.0,1.0,68.0,16.0,3.0
15_Boyacá,455_Miraflores,Cabecera,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,0.0,1.0
15_Boyacá,455_Miraflores,Rural disperso,Total,1236.0,26.0,166.0,1.0,736.0,219.0,88.0
15_Boyacá,455_Miraflores,Rural disperso,Casa,1209.0,26.0,163.0,1.0,721.0,217.0,81.0
15_Boyacá,455_Miraflores,Rural disperso,Tipo cuarto,25.0,0.0,3.0,0.0,15.0,1.0,6.0
15_Boyacá,455_Miraflores,Rural disperso,Otro tipo de vivienda (1),2.0,0.0,0.0,0.0,0.0,1.0,1.0
15_Boyacá,464_Mongua,Total municipal,Total,1353.0,13.0,293.0,0.0,628.0,26.0,393.0
15_Boyacá,464_Mongua,Total municipal,Casa,1330.0,13.0,284.0,0.0,616.0,25.0,392.0
15_Boyacá,464_Mongua,Total municipal,Apartamento,9.0,0.0,6.0,0.0,3.0,0.0,0.0
15_Boyacá,464_Mongua,Total municipal,Tipo cuarto,14.0,0.0,3.0,0.0,9.0,1.0,1.0
15_Boyacá,464_Mongua,Cabecera,Total,616.0,10.0,222.0,0.0,349.0,10.0,25.0
15_Boyacá,464_Mongua,Cabecera,Casa,594.0,10.0,213.0,0.0,337.0,9.0,25.0
15_Boyacá,464_Mongua,Cabecera,Apartamento,9.0,0.0,6.0,0.0,3.0,0.0,0.0
15_Boyacá,464_Mongua,Cabecera,Tipo cuarto,13.0,0.0,3.0,0.0,9.0,1.0,0.0
15_Boyacá,464_Mongua,Rural disperso,Total,737.0,3.0,71.0,0.0,279.0,16.0,368.0
15_Boyacá,464_Mongua,Rural disperso,Casa,736.0,3.0,71.0,0.0,279.0,16.0,367.0
15_Boyacá,464_Mongua,Rural disperso,Tipo cuarto,1.0,0.0,0.0,0.0,0.0,0.0,1.0
15_Boyacá,466_Monguí,Total municipal,Total,1276.0,22.0,655.0,1.0,460.0,29.0,109.0
15_Boyacá,466_Monguí,Total municipal,Casa,1235.0,22.0,630.0,1.0,447.0,29.0,106.0
15_Boyacá,466_Monguí,Total municipal,Apartamento,29.0,0.0,25.0,0.0,4.0,0.0,0.0
15_Boyacá,466_Monguí,Total municipal,Tipo cuarto,10.0,0.0,0.0,0.0,9.0,0.0,1.0
15_Boyacá,466_Monguí,Total municipal,Otro tipo de vivienda (1),2.0,0.0,0.0,0.0,0.0,0.0,2.0
15_Boyacá,466_Monguí,Cabecera,Total,749.0,13.0,500.0,1.0,182.0,27.0,26.0
15_Boyacá,466_Monguí,Cabecera,Casa,715.0,13.0,478.0,1.0,172.0,27.0,24.0
15_Boyacá,466_Monguí,Cabecera,Apartamento,26.0,0.0,22.0,0.0,4.0,0.0,0.0
15_Boyacá,466_Monguí,Cabecera,Tipo cuarto,7.0,0.0,0.0,0.0,6.0,0.0,1.0
15_Boyacá,466_Monguí,Cabecera,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,0.0,1.0
15_Boyacá,466_Monguí,Rural disperso,Total,527.0,9.0,155.0,0.0,278.0,2.0,83.0
15_Boyacá,466_Monguí,Rural disperso,Casa,520.0,9.0,152.0,0.0,275.0,2.0,82.0
15_Boyacá,466_Monguí,Rural disperso,Apartamento,3.0,0.0,3.0,0.0,0.0,0.0,0.0
15_Boyacá,466_Monguí,Rural disperso,Tipo cuarto,3.0,0.0,0.0,0.0,3.0,0.0,0.0
15_Boyacá,466_Monguí,Rural disperso,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,0.0,1.0
15_Boyacá,469_Moniquirá,Total municipal,Total,7181.0,101.0,4842.0,0.0,1886.0,38.0,314.0
15_Boyacá,469_Moniquirá,Total municipal,Casa,5003.0,42.0,2865.0,0.0,1770.0,33.0,293.0
15_Boyacá,469_Moniquirá,Total municipal,Apartamento,1937.0,58.0,1810.0,0.0,64.0,3.0,2.0
15_Boyacá,469_Moniquirá,Total municipal,Tipo cuarto,230.0,1.0,164.0,0.0,48.0,0.0,17.0
15_Boyacá,469_Moniquirá,Total municipal,Vivienda tradicional indígena,1.0,0.0,1.0,0.0,0.0,0.0,0.0
15_Boyacá,469_Moniquirá,Total municipal,Otro tipo de vivienda (1),10.0,0.0,2.0,0.0,4.0,2.0,2.0
15_Boyacá,469_Moniquirá,Cabecera,Total,3788.0,87.0,3349.0,0.0,332.0,9.0,11.0
15_Boyacá,469_Moniquirá,Cabecera,Casa,1668.0,28.0,1399.0,0.0,230.0,4.0,7.0
15_Boyacá,469_Moniquirá,Cabecera,Apartamento,1916.0,58.0,1794.0,0.0,60.0,3.0,1.0
15_Boyacá,469_Moniquirá,Cabecera,Tipo cuarto,198.0,1.0,155.0,0.0,40.0,0.0,2.0
15_Boyacá,469_Moniquirá,Cabecera,Otro tipo de vivienda (1),6.0,0.0,1.0,0.0,2.0,2.0,1.0
15_Boyacá,469_Moniquirá,Rural disperso,Total,3393.0,14.0,1493.0,0.0,1554.0,29.0,303.0
15_Boyacá,469_Moniquirá,Rural disperso,Casa,3335.0,14.0,1466.0,0.0,1540.0,29.0,286.0
15_Boyacá,469_Moniquirá,Rural disperso,Apartamento,21.0,0.0,16.0,0.0,4.0,0.0,1.0
15_Boyacá,469_Moniquirá,Rural disperso,Tipo cuarto,32.0,0.0,9.0,0.0,8.0,0.0,15.0
15_Boyacá,469_Moniquirá,Rural disperso,Vivienda tradicional indígena,1.0,0.0,1.0,0.0,0.0,0.0,0.0
15_Boyacá,469_Moniquirá,Rural disperso,Otro tipo de vivienda (1),4.0,0.0,1.0,0.0,2.0,0.0,1.0
15_Boyacá,476_Motavita,Total municipal,Total,1305.0,11.0,566.0,1.0,546.0,27.0,154.0
15_Boyacá,476_Motavita,Total municipal,Casa,1265.0,11.0,530.0,1.0,545.0,26.0,152.0
15_Boyacá,476_Motavita,Total municipal,Apartamento,36.0,0.0,34.0,0.0,1.0,0.0,1.0
15_Boyacá,476_Motavita,Total municipal,Tipo cuarto,3.0,0.0,2.0,0.0,0.0,0.0,1.0
15_Boyacá,476_Motavita,Total municipal,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,1.0,0.0
15_Boyacá,476_Motavita,Cabecera,Total,182.0,2.0,151.0,0.0,27.0,0.0,2.0
15_Boyacá,476_Motavita,Cabecera,Casa,148.0,2.0,118.0,0.0,27.0,0.0,1.0
15_Boyacá,476_Motavita,Cabecera,Apartamento,32.0,0.0,32.0,0.0,0.0,0.0,0.0
15_Boyacá,476_Motavita,Cabecera,Tipo cuarto,2.0,0.0,1.0,0.0,0.0,0.0,1.0
15_Boyacá,476_Motavita,Rural disperso,Total,1123.0,9.0,415.0,1.0,519.0,27.0,152.0
15_Boyacá,476_Motavita,Rural disperso,Casa,1117.0,9.0,412.0,1.0,518.0,26.0,151.0
15_Boyacá,476_Motavita,Rural disperso,Apartamento,4.0,0.0,2.0,0.0,1.0,0.0,1.0
15_Boyacá,476_Motavita,Rural disperso,Tipo cuarto,1.0,0.0,1.0,0.0,0.0,0.0,0.0
15_Boyacá,476_Motavita,Rural disperso,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,1.0,0.0
15_Boyacá,480_Muzo,Total municipal,Total,2263.0,7.0,729.0,1.0,1000.0,145.0,381.0
15_Boyacá,480_Muzo,Total municipal,Casa,1980.0,7.0,585.0,0.0,888.0,140.0,360.0
15_Boyacá,480_Muzo,Total municipal,Apartamento,178.0,0.0,106.0,0.0,65.0,1.0,6.0
15_Boyacá,480_Muzo,Total municipal,Tipo cuarto,104.0,0.0,38.0,1.0,46.0,4.0,15.0
15_Boyacá,480_Muzo,Total municipal,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,1.0,0.0,0.0
15_Boyacá,480_Muzo,Cabecera,Total,1228.0,5.0,625.0,1.0,506.0,12.0,79.0
15_Boyacá,480_Muzo,Cabecera,Casa,973.0,5.0,485.0,0.0,405.0,10.0,68.0
15_Boyacá,480_Muzo,Cabecera,Apartamento,169.0,0.0,104.0,0.0,59.0,0.0,6.0
15_Boyacá,480_Muzo,Cabecera,Tipo cuarto,85.0,0.0,36.0,1.0,41.0,2.0,5.0
15_Boyacá,480_Muzo,Cabecera,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,1.0,0.0,0.0
15_Boyacá,480_Muzo,Rural disperso,Total,1035.0,2.0,104.0,0.0,494.0,133.0,302.0
15_Boyacá,480_Muzo,Rural disperso,Casa,1007.0,2.0,100.0,0.0,483.0,130.0,292.0
15_Boyacá,480_Muzo,Rural disperso,Apartamento,9.0,0.0,2.0,0.0,6.0,1.0,0.0
15_Boyacá,480_Muzo,Rural disperso,Tipo cuarto,19.0,0.0,2.0,0.0,5.0,2.0,10.0
15_Boyacá,491_Nobsa,Total municipal,Total,4470.0,84.0,3837.0,0.0,511.0,17.0,21.0
15_Boyacá,491_Nobsa,Total municipal,Casa,3800.0,75.0,3263.0,0.0,433.0,11.0,18.0
15_Boyacá,491_Nobsa,Total municipal,Apartamento,609.0,8.0,536.0,0.0,60.0,5.0,0.0
15_Boyacá,491_Nobsa,Total municipal,Tipo cuarto,57.0,1.0,37.0,0.0,17.0,1.0,1.0
15_Boyacá,491_Nobsa,Total municipal,Otro tipo de vivienda (1),4.0,0.0,1.0,0.0,1.0,0.0,2.0
15_Boyacá,491_Nobsa,Cabecera,Total,1523.0,34.0,1392.0,0.0,89.0,5.0,3.0
15_Boyacá,491_Nobsa,Cabecera,Casa,1312.0,31.0,1200.0,0.0,74.0,4.0,3.0
15_Boyacá,491_Nobsa,Cabecera,Apartamento,187.0,2.0,175.0,0.0,10.0,0.0,0.0
15_Boyacá,491_Nobsa,Cabecera,Tipo cuarto,22.0,1.0,16.0,0.0,4.0,1.0,0.0
15_Boyacá,491_Nobsa,Cabecera,Otro tipo de vivienda (1),2.0,0.0,1.0,0.0,1.0,0.0,0.0
15_Boyacá,491_Nobsa,Centro poblado,Total,2107.0,34.0,1799.0,0.0,258.0,8.0,8.0
15_Boyacá,491_Nobsa,Centro poblado,Casa,1699.0,30.0,1452.0,0.0,207.0,3.0,7.0
15_Boyacá,491_Nobsa,Centro poblado,Apartamento,386.0,4.0,334.0,0.0,43.0,5.0,0.0
15_Boyacá,491_Nobsa,Centro poblado,Tipo cuarto,22.0,0.0,13.0,0.0,8.0,0.0,1.0
15_Boyacá,491_Nobsa,Rural disperso,Total,840.0,16.0,646.0,0.0,164.0,4.0,10.0
15_Boyacá,491_Nobsa,Rural disperso,Casa,789.0,14.0,611.0,0.0,152.0,4.0,8.0
15_Boyacá,491_Nobsa,Rural disperso,Apartamento,36.0,2.0,27.0,0.0,7.0,0.0,0.0
15_Boyacá,491_Nobsa,Rural disperso,Tipo cuarto,13.0,0.0,8.0,0.0,5.0,0.0,0.0
15_Boyacá,491_Nobsa,Rural disperso,Otro tipo de vivienda (1),2.0,0.0,0.0,0.0,0.0,0.0,2.0
15_Boyacá,494_Nuevo Colón,Total municipal,Total,1605.0,10.0,450.0,0.0,913.0,23.0,209.0
15_Boyacá,494_Nuevo Colón,Total municipal,Casa,1513.0,10.0,392.0,0.0,894.0,20.0,197.0
15_Boyacá,494_Nuevo Colón,Total municipal,Apartamento,63.0,0.0,50.0,0.0,11.0,2.0,0.0
15_Boyacá,494_Nuevo Colón,Total municipal,Tipo cuarto,19.0,0.0,8.0,0.0,7.0,1.0,3.0
15_Boyacá,494_Nuevo Colón,Total municipal,Otro tipo de vivienda (1),10.0,0.0,0.0,0.0,1.0,0.0,9.0
15_Boyacá,494_Nuevo Colón,Cabecera,Total,302.0,4.0,187.0,0.0,99.0,8.0,4.0
15_Boyacá,494_Nuevo Colón,Cabecera,Casa,231.0,4.0,133.0,0.0,86.0,5.0,3.0
15_Boyacá,494_Nuevo Colón,Cabecera,Apartamento,59.0,0.0,47.0,0.0,10.0,2.0,0.0
15_Boyacá,494_Nuevo Colón,Cabecera,Tipo cuarto,11.0,0.0,7.0,0.0,3.0,1.0,0.0
15_Boyacá,494_Nuevo Colón,Cabecera,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,0.0,1.0
15_Boyacá,494_Nuevo Colón,Rural disperso,Total,1303.0,6.0,263.0,0.0,814.0,15.0,205.0
15_Boyacá,494_Nuevo Colón,Rural disperso,Casa,1282.0,6.0,259.0,0.0,808.0,15.0,194.0
15_Boyacá,494_Nuevo Colón,Rural disperso,Apartamento,4.0,0.0,3.0,0.0,1.0,0.0,0.0
15_Boyacá,494_Nuevo Colón,Rural disperso,Tipo cuarto,8.0,0.0,1.0,0.0,4.0,0.0,3.0
15_Boyacá,494_Nuevo Colón,Rural disperso,Otro tipo de vivienda (1),9.0,0.0,0.0,0.0,1.0,0.0,8.0
15_Boyacá,500_Oicatá,Total municipal,Total,855.0,13.0,316.0,0.0,453.0,6.0,67.0
15_Boyacá,500_Oicatá,Total municipal,Casa,842.0,13.0,308.0,0.0,450.0,5.0,66.0
15_Boyacá,500_Oicatá,Total municipal,Apartamento,6.0,0.0,5.0,0.0,1.0,0.0,0.0
15_Boyacá,500_Oicatá,Total municipal,Tipo cuarto,5.0,0.0,3.0,0.0,2.0,0.0,0.0
15_Boyacá,500_Oicatá,Total municipal,Otro tipo de vivienda (1),2.0,0.0,0.0,0.0,0.0,1.0,1.0
15_Boyacá,500_Oicatá,Cabecera,Total,121.0,3.0,93.0,0.0,25.0,0.0,0.0
15_Boyacá,500_Oicatá,Cabecera,Casa,117.0,3.0,89.0,0.0,25.0,0.0,0.0
15_Boyacá,500_Oicatá,Cabecera,Apartamento,2.0,0.0,2.0,0.0,0.0,0.0,0.0
15_Boyacá,500_Oicatá,Cabecera,Tipo cuarto,2.0,0.0,2.0,0.0,0.0,0.0,0.0
15_Boyacá,500_Oicatá,Rural disperso,Total,734.0,10.0,223.0,0.0,428.0,6.0,67.0
15_Boyacá,500_Oicatá,Rural disperso,Casa,725.0,10.0,219.0,0.0,425.0,5.0,66.0
15_Boyacá,500_Oicatá,Rural disperso,Apartamento,4.0,0.0,3.0,0.0,1.0,0.0,0.0
15_Boyacá,500_Oicatá,Rural disperso,Tipo cuarto,3.0,0.0,1.0,0.0,2.0,0.0,0.0
15_Boyacá,500_Oicatá,Rural disperso,Otro tipo de vivienda (1),2.0,0.0,0.0,0.0,0.0,1.0,1.0
15_Boyacá,507_Otanche,Total municipal,Total,2196.0,8.0,287.0,0.0,675.0,827.0,399.0
15_Boyacá,507_Otanche,Total municipal,Casa,2067.0,8.0,230.0,0.0,642.0,793.0,394.0
15_Boyacá,507_Otanche,Total municipal,Apartamento,67.0,0.0,38.0,0.0,16.0,12.0,1.0
15_Boyacá,507_Otanche,Total municipal,Tipo cuarto,60.0,0.0,18.0,0.0,17.0,22.0,3.0
15_Boyacá,507_Otanche,Total municipal,Otro tipo de vivienda (1),2.0,0.0,1.0,0.0,0.0,0.0,1.0
15_Boyacá,507_Otanche,Cabecera,Total,948.0,6.0,269.0,0.0,345.0,309.0,19.0
15_Boyacá,507_Otanche,Cabecera,Casa,838.0,6.0,215.0,0.0,317.0,282.0,18.0
15_Boyacá,507_Otanche,Cabecera,Apartamento,63.0,0.0,35.0,0.0,16.0,12.0,0.0
15_Boyacá,507_Otanche,Cabecera,Tipo cuarto,46.0,0.0,18.0,0.0,12.0,15.0,1.0
15_Boyacá,507_Otanche,Cabecera,Otro tipo de vivienda (1),1.0,0.0,1.0,0.0,0.0,0.0,0.0
15_Boyacá,507_Otanche,Centro poblado,Total,157.0,0.0,4.0,0.0,67.0,63.0,23.0
15_Boyacá,507_Otanche,Centro poblado,Casa,155.0,0.0,4.0,0.0,66.0,62.0,23.0
15_Boyacá,507_Otanche,Centro poblado,Tipo cuarto,2.0,0.0,0.0,0.0,1.0,1.0,0.0
15_Boyacá,507_Otanche,Rural disperso,Total,1091.0,2.0,14.0,0.0,263.0,455.0,357.0
15_Boyacá,507_Otanche,Rural disperso,Casa,1074.0,2.0,11.0,0.0,259.0,449.0,353.0
15_Boyacá,507_Otanche,Rural disperso,Apartamento,4.0,0.0,3.0,0.0,0.0,0.0,1.0
15_Boyacá,507_Otanche,Rural disperso,Tipo cuarto,12.0,0.0,0.0,0.0,4.0,6.0,2.0
15_Boyacá,507_Otanche,Rural disperso,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,0.0,1.0
15_Boyacá,511_Pachavita,Total municipal,Total,866.0,2.0,148.0,0.0,571.0,29.0,116.0
15_Boyacá,511_Pachavita,Total municipal,Casa,846.0,2.0,140.0,0.0,567.0,29.0,108.0
15_Boyacá,511_Pachavita,Total municipal,Apartamento,6.0,0.0,6.0,0.0,0.0,0.0,0.0
15_Boyacá,511_Pachavita,Total municipal,Tipo cuarto,13.0,0.0,2.0,0.0,4.0,0.0,7.0
15_Boyacá,511_Pachavita,Total municipal,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,0.0,1.0
15_Boyacá,511_Pachavita,Cabecera,Total,168.0,2.0,101.0,0.0,52.0,13.0,0.0
15_Boyacá,511_Pachavita,Cabecera,Casa,157.0,2.0,93.0,0.0,49.0,13.0,0.0
15_Boyacá,511_Pachavita,Cabecera,Apartamento,6.0,0.0,6.0,0.0,0.0,0.0,0.0
15_Boyacá,511_Pachavita,Cabecera,Tipo cuarto,5.0,0.0,2.0,0.0,3.0,0.0,0.0
15_Boyacá,511_Pachavita,Rural disperso,Total,698.0,0.0,47.0,0.0,519.0,16.0,116.0
15_Boyacá,511_Pachavita,Rural disperso,Casa,689.0,0.0,47.0,0.0,518.0,16.0,108.0
15_Boyacá,511_Pachavita,Rural disperso,Tipo cuarto,8.0,0.0,0.0,0.0,1.0,0.0,7.0
15_Boyacá,511_Pachavita,Rural disperso,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,0.0,1.0
15_Boyacá,514_Páez,Total municipal,Total,1064.0,9.0,293.0,2.0,593.0,45.0,122.0
15_Boyacá,514_Páez,Total municipal,Casa,953.0,9.0,238.0,1.0,549.0,40.0,116.0
15_Boyacá,514_Páez,Total municipal,Apartamento,59.0,0.0,34.0,0.0,22.0,2.0,1.0
15_Boyacá,514_Páez,Total municipal,Tipo cuarto,52.0,0.0,21.0,1.0,22.0,3.0,5.0
15_Boyacá,514_Páez,Cabecera,Total,462.0,7.0,248.0,1.0,186.0,15.0,5.0
15_Boyacá,514_Páez,Cabecera,Casa,366.0,7.0,194.0,0.0,152.0,10.0,3.0
15_Boyacá,514_Páez,Cabecera,Apartamento,54.0,0.0,34.0,0.0,18.0,2.0,0.0
15_Boyacá,514_Páez,Cabecera,Tipo cuarto,42.0,0.0,20.0,1.0,16.0,3.0,2.0
15_Boyacá,514_Páez,Centro poblado,Total,60.0,1.0,10.0,0.0,44.0,0.0,5.0
15_Boyacá,514_Páez,Centro poblado,Casa,57.0,1.0,10.0,0.0,41.0,0.0,5.0
15_Boyacá,514_Páez,Centro poblado,Tipo cuarto,3.0,0.0,0.0,0.0,3.0,0.0,0.0
15_Boyacá,514_Páez,Rural disperso,Total,542.0,1.0,35.0,1.0,363.0,30.0,112.0
15_Boyacá,514_Páez,Rural disperso,Casa,530.0,1.0,34.0,1.0,356.0,30.0,108.0
15_Boyacá,514_Páez,Rural disperso,Apartamento,5.0,0.0,0.0,0.0,4.0,0.0,1.0
15_Boyacá,514_Páez,Rural disperso,Tipo cuarto,7.0,0.0,1.0,0.0,3.0,0.0,3.0
15_Boyacá,516_Paipa,Total municipal,Total,9862.0,214.0,7262.0,10.0,2098.0,83.0,195.0
15_Boyacá,516_Paipa,Total municipal,Casa,7716.0,136.0,5315.0,8.0,2005.0,71.0,181.0
15_Boyacá,516_Paipa,Total municipal,Apartamento,1968.0,73.0,1813.0,2.0,69.0,11.0,0.0
15_Boyacá,516_Paipa,Total municipal,Tipo cuarto,166.0,5.0,129.0,0.0,23.0,1.0,8.0
15_Boyacá,516_Paipa,Total municipal,Vivienda tradicional indígena,1.0,0.0,0.0,0.0,0.0,0.0,1.0
15_Boyacá,516_Paipa,Total municipal,Vivienda tradicional étnica,1.0,0.0,1.0,0.0,0.0,0.0,0.0
15_Boyacá,516_Paipa,Total municipal,Otro tipo de vivienda (1),10.0,0.0,4.0,0.0,1.0,0.0,5.0
15_Boyacá,516_Paipa,Cabecera,Total,6172.0,187.0,5460.0,7.0,463.0,40.0,15.0
15_Boyacá,516_Paipa,Cabecera,Casa,4077.0,111.0,3540.0,5.0,383.0,28.0,10.0
15_Boyacá,516_Paipa,Cabecera,Apartamento,1948.0,73.0,1796.0,2.0,66.0,11.0,0.0
15_Boyacá,516_Paipa,Cabecera,Tipo cuarto,144.0,3.0,123.0,0.0,14.0,1.0,3.0
15_Boyacá,516_Paipa,Cabecera,Vivienda tradicional étnica,1.0,0.0,1.0,0.0,0.0,0.0,0.0
15_Boyacá,516_Paipa,Cabecera,Otro tipo de vivienda (1),2.0,0.0,0.0,0.0,0.0,0.0,2.0
15_Boyacá,516_Paipa,Centro poblado,Total,134.0,0.0,93.0,0.0,35.0,5.0,1.0
15_Boyacá,516_Paipa,Centro poblado,Casa,130.0,0.0,89.0,0.0,35.0,5.0,1.0
15_Boyacá,516_Paipa,Centro poblado,Apartamento,2.0,0.0,2.0,0.0,0.0,0.0,0.0
15_Boyacá,516_Paipa,Centro poblado,Tipo cuarto,1.0,0.0,1.0,0.0,0.0,0.0,0.0
15_Boyacá,516_Paipa,Centro poblado,Otro tipo de vivienda (1),1.0,0.0,1.0,0.0,0.0,0.0,0.0
15_Boyacá,516_Paipa,Rural disperso,Total,3556.0,27.0,1709.0,3.0,1600.0,38.0,179.0
15_Boyacá,516_Paipa,Rural disperso,Casa,3509.0,25.0,1686.0,3.0,1587.0,38.0,170.0
15_Boyacá,516_Paipa,Rural disperso,Apartamento,18.0,0.0,15.0,0.0,3.0,0.0,0.0
15_Boyacá,516_Paipa,Rural disperso,Tipo cuarto,21.0,2.0,5.0,0.0,9.0,0.0,5.0
15_Boyacá,516_Paipa,Rural disperso,Vivienda tradicional indígena,1.0,0.0,0.0,0.0,0.0,0.0,1.0
15_Boyacá,516_Paipa,Rural disperso,Otro tipo de vivienda (1),7.0,0.0,3.0,0.0,1.0,0.0,3.0
15_Boyacá,518_Pajarito,Total municipal,Total,659.0,9.0,281.0,0.0,297.0,52.0,20.0
15_Boyacá,518_Pajarito,Total municipal,Casa,563.0,6.0,217.0,0.0,270.0,51.0,19.0
15_Boyacá,518_Pajarito,Total municipal,Apartamento,56.0,1.0,47.0,0.0,8.0,0.0,0.0
15_Boyacá,518_Pajarito,Total municipal,Tipo cuarto,38.0,1.0,17.0,0.0,18.0,1.0,1.0
15_Boyacá,518_Pajarito,Total municipal,Otro tipo de vivienda (1),2.0,1.0,0.0,0.0,1.0,0.0,0.0
15_Boyacá,518_Pajarito,Cabecera,Total,317.0,6.0,181.0,0.0,128.0,0.0,2.0
15_Boyacá,518_Pajarito,Cabecera,Casa,224.0,3.0,117.0,0.0,102.0,0.0,2.0
15_Boyacá,518_Pajarito,Cabecera,Apartamento,56.0,1.0,47.0,0.0,8.0,0.0,0.0
15_Boyacá,518_Pajarito,Cabecera,Tipo cuarto,35.0,1.0,17.0,0.0,17.0,0.0,0.0
15_Boyacá,518_Pajarito,Cabecera,Otro tipo de vivienda (1),2.0,1.0,0.0,0.0,1.0,0.0,0.0
15_Boyacá,518_Pajarito,Centro poblado,Total,114.0,1.0,61.0,0.0,47.0,3.0,2.0
15_Boyacá,518_Pajarito,Centro poblado,Casa,114.0,1.0,61.0,0.0,47.0,3.0,2.0
15_Boyacá,518_Pajarito,Rural disperso,Total,228.0,2.0,39.0,0.0,122.0,49.0,16.0
15_Boyacá,518_Pajarito,Rural disperso,Casa,225.0,2.0,39.0,0.0,121.0,48.0,15.0
15_Boyacá,518_Pajarito,Rural disperso,Tipo cuarto,3.0,0.0,0.0,0.0,1.0,1.0,1.0
15_Boyacá,522_Panqueba,Total municipal,Total,541.0,4.0,140.0,0.0,252.0,14.0,131.0
15_Boyacá,522_Panqueba,Total municipal,Casa,525.0,4.0,133.0,0.0,245.0,14.0,129.0
15_Boyacá,522_Panqueba,Total municipal,Apartamento,7.0,0.0,4.0,0.0,3.0,0.0,0.0
15_Boyacá,522_Panqueba,Total municipal,Tipo cuarto,7.0,0.0,2.0,0.0,3.0,0.0,2.0
15_Boyacá,522_Panqueba,Total municipal,Otro tipo de vivienda (1),2.0,0.0,1.0,0.0,1.0,0.0,0.0
15_Boyacá,522_Panqueba,Cabecera,Total,257.0,4.0,129.0,0.0,116.0,4.0,4.0
15_Boyacá,522_Panqueba,Cabecera,Casa,244.0,4.0,124.0,0.0,109.0,4.0,3.0
15_Boyacá,522_Panqueba,Cabecera,Apartamento,6.0,0.0,3.0,0.0,3.0,0.0,0.0
15_Boyacá,522_Panqueba,Cabecera,Tipo cuarto,6.0,0.0,2.0,0.0,3.0,0.0,1.0
15_Boyacá,522_Panqueba,Cabecera,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,1.0,0.0,0.0
15_Boyacá,522_Panqueba,Rural disperso,Total,284.0,0.0,11.0,0.0,136.0,10.0,127.0
15_Boyacá,522_Panqueba,Rural disperso,Casa,281.0,0.0,9.0,0.0,136.0,10.0,126.0
15_Boyacá,522_Panqueba,Rural disperso,Apartamento,1.0,0.0,1.0,0.0,0.0,0.0,0.0
15_Boyacá,522_Panqueba,Rural disperso,Tipo cuarto,1.0,0.0,0.0,0.0,0.0,0.0,1.0
15_Boyacá,522_Panqueba,Rural disperso,Otro tipo de vivienda (1),1.0,0.0,1.0,0.0,0.0,0.0,0.0
15_Boyacá,531_Pauna,Total municipal,Total,2307.0,11.0,399.0,1.0,718.0,819.0,359.0
15_Boyacá,531_Pauna,Total municipal,Casa,2168.0,11.0,320.0,1.0,668.0,812.0,356.0
15_Boyacá,531_Pauna,Total municipal,Apartamento,118.0,0.0,69.0,0.0,46.0,3.0,0.0
15_Boyacá,531_Pauna,Total municipal,Tipo cuarto,21.0,0.0,10.0,0.0,4.0,4.0,3.0
15_Boyacá,531_Pauna,Cabecera,Total,594.0,2.0,310.0,0.0,236.0,35.0,11.0
15_Boyacá,531_Pauna,Cabecera,Casa,461.0,2.0,234.0,0.0,186.0,29.0,10.0
